Country,Date,Rating,Review,Version,source
Great Britain,06/08/2020,2,"It’s not great, after verifying ID it keeps asking for the same information. You can add family members but they have to set up the App on their own phone to book appointments. The App gets confused over additional ID, you can’t see where you have already booked an appointment with your GP and it’s not very user friendly.",4.22.0,babylon_itunes
Great Britain,06/08/2020,1,Don’t waste your time,-,babylon_itunes
Great Britain,06/06/2020,5,"Best thing I ever did was swap to Babylon. In the past I have massively struggled to get an appointment at my local practice and when I did, I would normally have to wait almost an hour to be seen. This app is so convenient, truly lives up to it’s ‘at hand’ name. You can always get an appointment which really takes the stress out of being ill and getting a prescription has never been easier.",4.22.0,babylon_itunes
Great Britain,06/06/2020,5,"Clearly much investment has gone into this app and the infrastructure/services behind it.  I use this through Bupa, whereas my wife who is on NHS only, would have to forego her local GP registration to sign up.  There are pros and cons to doing that, but the app remains excellent for ease of use and facilities.",4.22.0,babylon_itunes
Great Britain,06/05/2020,1,"Staffed by brand new baby GPs with no ability to do risk assessment and a tick box mentality. ‘But my flowchart says .....’ 
Terrible. Impossible to get repeat predictions set up (they want to keep making you book appointments as that increases payments) and you only get a 3 day window between scrips so if your can’t get to the chemist, well that’s just too bad. Now need to figure out how to get a proper GP instead of this investor focussed non patient-centric rubbish. Would give zero stars if I could.",4.22.0,babylon_itunes
Great Britain,06/04/2020,5,It’s genuinely so easy to speak to a GP. In the COVID world it’s been invaluable!,4.22.0,babylon_itunes
Great Britain,06/04/2020,1,Trying to register all morning but it keeps returning an error. Pretty poor when you are in pain!,4.22.0,babylon_itunes
Great Britain,06/04/2020,1,If zero was possible I would choose it,4.22.0,babylon_itunes
Great Britain,06/03/2020,5,Would recommend,4.22.0,babylon_itunes
Great Britain,06/03/2020,1,"Appalling service , now waited 3 weeks not connect no explaination",4.20.8,babylon_itunes
Great Britain,06/02/2020,1,Whilst paying for full cover I ended up paying for a doctors appointment I was given a prescription this did not come through and I had to spend time calling the helpline which I still did not receive my medication.,4.22.0,babylon_itunes
Great Britain,06/02/2020,5,This artificial intelligence Technology is a game changer!,4.22.0,babylon_itunes
Great Britain,06/02/2020,5,"Thank you for a very accessible health app. Can’t wait to see if you open up an NHS doctor here in Brighton. For me, London would be too far to travel, especially if unwell.",4.22.0,babylon_itunes
Great Britain,06/02/2020,1,Waited and waited but the call from the doc never came. Will book myself a f2f appt instead,4.22.0,babylon_itunes
