Country,Date,Rating,Review,Version
Great Britain,06/08/2020,width: 39%;,"It’s not great, after verifying ID it keeps asking for the same information. You can add family members but they have to set up the App on their own phone to book appointments. The App gets confused over additional ID, you can’t see where you have already booked an appointment with your GP and it’s not very user friendly.",4.22.0
Great Britain,06/08/2020,width: 19%;,Don’t waste your time,-
Great Britain,06/06/2020,width: 99%;,"Best thing I ever did was swap to Babylon. In the past I have massively struggled to get an appointment at my local practice and when I did, I would normally have to wait almost an hour to be seen. This app is so convenient, truly lives up to it’s ‘at hand’ name. You can always get an appointment which really takes the stress out of being ill and getting a prescription has never been easier.",4.22.0
Great Britain,06/06/2020,width: 99%;,"Clearly much investment has gone into this app and the infrastructure/services behind it.  I use this through Bupa, whereas my wife who is on NHS only, would have to forego her local GP registration to sign up.  There are pros and cons to doing that, but the app remains excellent for ease of use and facilities.",4.22.0
Great Britain,06/05/2020,width: 19%;,"Staffed by brand new baby GPs with no ability to do risk assessment and a tick box mentality. ‘But my flowchart says .....’ 
Terrible. Impossible to get repeat predictions set up (they want to keep making you book appointments as that increases payments) and you only get a 3 day window between scrips so if your can’t get to the chemist, well that’s just too bad. Now need to figure out how to get a proper GP instead of this investor focussed non patient-centric rubbish. Would give zero stars if I could.",4.22.0
Great Britain,06/04/2020,width: 99%;,It’s genuinely so easy to speak to a GP. In the COVID world it’s been invaluable!,4.22.0
Great Britain,06/04/2020,width: 19%;,Trying to register all morning but it keeps returning an error. Pretty poor when you are in pain!,4.22.0
Great Britain,06/04/2020,width: 19%;,If zero was possible I would choose it,4.22.0
Great Britain,06/03/2020,width: 99%;,Would recommend,4.22.0
Great Britain,06/03/2020,width: 19%;,"Appalling service , now waited 3 weeks not connect no explaination",4.20.8
Great Britain,06/02/2020,width: 19%;,Whilst paying for full cover I ended up paying for a doctors appointment I was given a prescription this did not come through and I had to spend time calling the helpline which I still did not receive my medication.,4.22.0
Great Britain,06/02/2020,width: 99%;,This artificial intelligence Technology is a game changer!,4.22.0
Great Britain,06/02/2020,width: 99%;,"Thank you for a very accessible health app. Can’t wait to see if you open up an NHS doctor here in Brighton. For me, London would be too far to travel, especially if unwell.",4.22.0
Great Britain,06/02/2020,width: 19%;,Waited and waited but the call from the doc never came. Will book myself a f2f appt instead,4.22.0
Great Britain,06/02/2020,width: 19%;,"Constantly get cut off when you are you lucky enough to get through. Despite being no 1 in the queue , suddenly it changes to a number further up in the queue. Ordered an antibody testing kit on 19th May big it still hasn’t arrived.",4.22.0
Great Britain,06/02/2020,width: 19%;,They stated dispatched twice ....both times the lied,4.20.8
Great Britain,06/01/2020,width: 19%;,"I was sent warnings one hour , and ten minutes before the appointment - which was scheduled for 9.30 . At 09.21 I was informed that I had cancelled .

This is totally unacceptable .",4.22.0
Great Britain,06/01/2020,width: 19%;,"Appalling service re covid antibody test. Ordered 2 weeks ago, still not received. Tried to cancel and after 48h have been asked to confirm my details - which they could have got from my email address and order number.
Reporting to bank card as fraud.",4.22.0
Great Britain,06/01/2020,width: 19%;,"Twice I’ve logged a call and still nothing, it says if the call is late, I will be notified, but I haven’t and it’s 20 mins late.",4.22.0
Great Britain,05/31/2020,width: 99%;,"Easy to use app, gets you what you need without queuing in long waiting lines. 

This app has really digitised and have put essential healthcare in the palm of our hands

Thank you Babylon.",4.22.0
