Country,Date,Rating,Review,Version
US,06/09/2020,width: 19%;,"This app WAS great but it has become unusable since the last update. It’s almost impossible to check off even a couple of pills in the reminder section and the pill adherence history got screwed up!
WebMD is aware. I’ve contacted them and they responded, but they’ve done nothing! Unless they fix it, trust me, it’s not worth your time!!!!!",-
US,06/08/2020,width: 99%;,Great information,-
US,06/07/2020,width: 19%;,"Since the last update over a week ago the app has become painfully slow, taking a full ten minutes at least, to check off a few pills as taken.  The screen freezes constantly every time you touch it then you have to wait forever for it to move just a centimeter when sliding left in the pill reminder section or anywhere you tap in the app.  A constant spinning icon in the middle of the screen with every tap.  And now it has started to heat up my phone when I try to marked all pills as taken at one time because it’s so painful to visit the app several times a day.  Time to ditch this app and find another pill tracker.  I emailed support over a week ago and they’re aware of the issue because they responded, but nothing has been done.  It worked fine until the last update.  Now it’s useless to me.  Very slowwwww and buggy.  Time to find a new one.  👎",8.8
US,06/05/2020,width: 99%;,Great Job on Web Deisgn.,8.8
US,06/05/2020,width: 99%;,The symptom checker is awesome!,8.8
US,06/03/2020,width: 39%;,"App has changed for the worse, but it is still not as clumsy as trying to follow pages from the daily emails. That is torture.",8.8
US,06/02/2020,width: 79%;,Freezes a lot here recently.,8.8
US,05/31/2020,width: 19%;,I have been using this app for a long time. Suddenly they made changes that made it harder to use. Then it started not responding like usual. I've written to them with no response. Shame!,8.8
US,05/29/2020,width: 19%;,After the update the program is actually much slower.  Good app but slow.,8.8
US,05/29/2020,width: 39%;,"Since the last update of this app on my iPhone it freezes every time I hit one of the buttons. It takes at least 60 seconds to load between when I press the button on my iPhone screen to win it registers so that I can check  off that I have taken my medication. I know it’s not my phone, because no other app has this problem. Please fix this version. I am going to stop checking in the fact that I have taken my medication but keeping the app so that I have the note to vacations pop-up to remind me to take them. But as of right now, the app is more junk than it is usable",8.8
Vietnam,05/27/2020,width: 99%;,"Worldwide promote your apps and rapidly increase downloads and revenue above 100 times! We are app marketing experts with rich experience, please contact us on Facebook: aso8866 .or Ping me at Skype/WhatsApp: +8615982207105 .Everyone can enjoy 3-day trial now!",-
US,05/27/2020,width: 99%;,"Got up and toe caught on a rug ,  fell forward on my chest with my head turn to the right... neck pain when I turn my head ?  Very slowly to the left only so far?  I feel like I need traction for my next treatment?",8.8
US,05/25/2020,width: 99%;,Easy to use good information you can trust,8.7
France,05/20/2020,width: 99%;,"Worldwide promote your apps and rapidly increase downloads and revenue above 50 times! We are app marketing experts with rich experience, Please contact me at Skype/WhatsApp: 
+8619141990146 .Everyone can enjoy 3-day trial now!",-
Australia,05/16/2020,width: 19%;,"These people have chosen to sell the health information you enter into the app, to a very long list of businesses. They could have chosen a less sinister finance model, but they’re happy claiming ownership of your most personal information and selling it.",-
US,05/15/2020,width: 99%;,"Tee   off at try
M
M

Yesterday t",8.7
US,05/14/2020,width: 39%;,What is this web site. Slow loading. Content poor. Want to go to specific subject.  tough! Too many pop up ads too.,8.7
US,05/11/2020,width: 99%;,Excellent site very informative,8.7
US,05/11/2020,width: 59%;,What ever happened to that virtual body guide that you can select your conditions and it will tell you what it thinks is wrong with you? Please add this feature back to the website and include it in the app thank you.,8.6
South Korea,05/11/2020,width: 99%;,"service, daily installs can reach 3000+. Ping me at Skype: +8618990290838  / Whatsapp:+8618990290838. Every one can get a test promtion for 3 days now!",-
India,05/11/2020,width: 99%;,"service, daily installs can reach 3000+. Ping me at Skype: +8618990290838  / Whatsapp:+8618990290838. Every one can get a test promtion for 3 days now!",-
US,05/10/2020,width: 19%;,Really?!? The only possible solution for a 23 year old male with an upper backache is broken ribs?!  This app is a joke.  Don’t waste your time,8.6
US,05/10/2020,width: 99%;,A great resource! Thanks,8.6
Germany,05/09/2020,width: 99%;,"Worldwide promote your apps and rapidly increase downloads and revenue above 50 times! We are app marketing experts with rich experience, Please contact me at Skype/WhatsApp: 
+8618228157920 .Everyone can enjoy 3-day trial now!",-
US,05/08/2020,width: 99%;,Web MD is an invaluable source for a wide variety of medical information. I turn to it constantly!,8.6
US,05/04/2020,width: 19%;,"It is impossible to change your passcode/password for this app. 
Also the older version(s) of this app were great.",8.6
US,05/04/2020,width: 99%;,Great and trustworthy info,8.6
US,05/03/2020,width: 19%;,"I received an email like I always do. This time it was an article “Things that suppress your immune system.” It lists things that suppress your immune system. One of those things out of 13 was a picture of two men laying together on a bed and it read, 13/13 “No Sex”. Did WebMD tell me that two men who have anal sex, sex in a sewer is good for your immune system? Have they ever heard of HIV/AIDS? The 80’s? Holy Mother of God. Disgusted! I will delete your app forever. I will never look at your site again!",8.6
US,04/30/2020,width: 99%;,"Live this App. Every time I need to look up my symptoms, this gives me a list of possible 
Problems it could be. Also let’s me know if I should see a doctor. Best medical sight I’ve found",8.6
US,04/24/2020,width: 99%;,"The best source for obtaining information on any disease, procedure, surgery, treatment or any thing that’s medically related. It makes you an intelligent and informed patient. I find WEN MD very useful when I visit my doctor to discuss any medical concerns that I may have. The WEBSITE makes you an informed land intelligent patient able to discuss your medical conditions intelligently.",8.6
US,04/23/2020,width: 99%;,Awesome,8.6
US,04/21/2020,width: 39%;,"I used to be able to check my medications on webmd but now I can’t. Do you no longer have this option?

Yerduasnevits",8.6
Philippines,04/21/2020,width: 99%;,My virtual nurse!,-
US,04/20/2020,width: 19%;,Pill ID doesn’t work very well,8.6
US,04/20/2020,width: 99%;,Iam a uncontrolled diabetic and for some reason I often forget to take my morning pill an hour prior to eating or maybe not before lunch time.  So I am greatful to be reminded when I pick up my phone in the morning.,8.6
